Part B sections: 229
   • [Anatomy] 01-Neuroanatomy | parsed 61 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Anatomy] 02-Head-Neck | parsed 37 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Anatomy] 03-Embryology | parsed 38 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Anatomy] 04-Thorax | parsed 29 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Anatomy] 05-Upper-Limb | parsed 20 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Anatomy] 06-Abdomen-Pelvis | parsed 20 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [1]
   • [Anatomy] 07-Lower-Limb | parsed 32 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Anatomy] 08-Histology-Osteology | parsed 27 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Anatomy] 09-Cadaveric-Sections | parsed 2 | idx 0 | missing: [] | extra: [2, 1] | no-ans: [1]
   • [Anatomy] 10-Pyqs | parsed 134 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Anesthesia] 01-Airway-Other-Instruments | parsed 36 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Anesthesia] 02-Pharmacology-In-Anaesthesia | parsed 34 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Anesthesia] 03-Regional-Anaesthesia-Capnography | parsed 17 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Anesthesia] 04-Pre-Op-Assessment | parsed 13 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Anesthesia] 05-Mechanical-Ventilation | parsed 9 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Anesthesia] 06-Bls-Acls-Nrp | parsed 10 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Anesthesia] 07-Pyqs | parsed 47 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Biochemistry] 01-Basics-Of-Metabolism | parsed 25 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Biochemistry] 02-Carbohydrate-Metabolism-Disorders | parsed 47 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Biochemistry] 03-Lipid-Metabolism-Disorders | parsed 27 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Biochemistry] 04-Protein-Metabolism-Disorders | parsed 27 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Biochemistry] 05-Minerals | parsed 20 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Biochemistry] 06-Enzyme-Kinetics | parsed 15 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Biochemistry] 07-Vitamins | parsed 44 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
